task,team,user,score
KIS Visual 1,vitrivr,vitrivr II,95
KIS Visual 1,siret,siret IV,95
KIS Visual 1,vitrivr,vitrivr VI,94
KIS Visual 1,vitrivr,vitrivr I,94
KIS Visual 1,vitrivr,vitrivr V,93
KIS Visual 1,vitrivr,vitrivr III,66
KIS Visual 1,siret,siret III,72
KIS Visual 1,vitrivr,vitrivr VIII,83
KIS Visual 1,siret,siret VI,67
KIS Visual 1,siret,siret VII,74
KIS Visual 1,vitrivr,vitrivr VII,68
KIS Visual 1,siret,siret I,52
KIS Visual 1,siret,siret V,52
KIS Visual 1,siret,siret II,49
KIS Textual 1,siret,siret I,94
KIS Textual 1,vitrivr,vitrivr IV,94
KIS Textual 1,vitrivr,vitrivr VII,81
KIS Textual 1,siret,siret VII,32
KIS Textual 1,siret,siret V,0
KIS Textual 1,siret,siret II,70
KIS Textual 1,vitrivr,vitrivr III,64
KIS Textual 1,vitrivr,vitrivr V,60
KIS Textual 1,vitrivr,vitrivr II,0
KIS Textual 1,vitrivr,vitrivr VIII,36
KIS Textual 1,siret,siret III,0
KIS Textual 1,vitrivr,vitrivr VI,0
KIS Textual 1,siret,siret VI,0
KIS Textual 1,vitrivr,vitrivr I,0
KIS Textual 1,siret,siret IV,0
KIS Visual 2,vitrivr,vitrivr VII,91
KIS Visual 2,siret,siret IV,74
KIS Visual 2,siret,siret III,78
KIS Visual 2,siret,siret V,63
KIS Visual 2,vitrivr,vitrivr VIII,74
KIS Visual 2,siret,siret II,58
KIS Visual 2,siret,siret VI,58
KIS Visual 2,vitrivr,vitrivr I,50
KIS Textual 2,siret,siret II,97
KIS Textual 2,siret,siret VII,96
KIS Textual 2,siret,siret IV,84
KIS Textual 2,siret,siret I,94
KIS Textual 2,vitrivr,vitrivr IV,91
KIS Textual 2,vitrivr,vitrivr II,58
KIS Textual 2,vitrivr,vitrivr I,86
KIS Textual 2,siret,siret III,85
KIS Textual 2,siret,siret VI,85
KIS Textual 2,vitrivr,vitrivr III,84
KIS Textual 2,siret,siret V,83
KIS Textual 2,vitrivr,vitrivr VIII,12
KIS Textual 2,vitrivr,vitrivr VI,75
KIS Textual 2,vitrivr,vitrivr V,74
KIS Textual 2,vitrivr,vitrivr VII,62
KIS Visual 3,vitrivr,vitrivr IV,79
KIS Visual 3,vitrivr,vitrivr III,90
KIS Visual 3,siret,siret I,89
KIS Visual 3,vitrivr,vitrivr II,89
KIS Visual 3,vitrivr,vitrivr VIII,88
KIS Visual 3,siret,siret IV,88
KIS Visual 3,vitrivr,vitrivr I,87
KIS Visual 3,vitrivr,vitrivr V,87
KIS Visual 3,vitrivr,vitrivr VII,82
KIS Visual 3,vitrivr,vitrivr VI,79
KIS Visual 3,siret,siret III,78
KIS Visual 3,siret,siret VI,60
KIS Visual 3,siret,siret V,52
KIS Textual 3,siret,siret IV,82
KIS Textual 3,siret,siret III,66
KIS Textual 3,siret,siret VI,93
KIS Textual 3,siret,siret II,89
KIS Textual 3,siret,siret VII,64
KIS Textual 3,siret,siret I,51
KIS Textual 3,vitrivr,vitrivr III,64
KIS Textual 3,siret,siret V,72
KIS Visual 4,vitrivr,vitrivr V,93
KIS Visual 4,vitrivr,vitrivr VIII,67
KIS Visual 4,siret,siret II,88
KIS Visual 4,vitrivr,vitrivr VI,87
KIS Visual 4,vitrivr,vitrivr I,85
KIS Visual 4,vitrivr,vitrivr II,82
KIS Visual 4,vitrivr,vitrivr IV,78
KIS Visual 4,vitrivr,vitrivr III,50
KIS Visual 4,siret,siret V,0
KIS Visual 4,siret,siret III,0
KIS Textual 4,siret,siret I,91
KIS Textual 4,siret,siret IV,90
KIS Textual 4,siret,siret VII,76
KIS Textual 4,siret,siret II,90
KIS Textual 4,vitrivr,vitrivr V,89
KIS Textual 4,siret,siret VI,68
KIS Textual 4,vitrivr,vitrivr IV,75
KIS Textual 4,siret,siret V,65
KIS Textual 4,vitrivr,vitrivr III,48
KIS Textual 4,vitrivr,vitrivr II,42
KIS Visual 5,siret,siret V,90
KIS Visual 5,siret,siret II,89
KIS Visual 5,siret,siret IV,85
KIS Visual 5,siret,siret VI,84
KIS Visual 5,siret,siret I,82
KIS Visual 5,siret,siret III,74
KIS Visual 5,siret,siret VII,74
KIS Visual 5,vitrivr,vitrivr VIII,52
KIS Textual 5,siret,siret IV,67
KIS Textual 5,vitrivr,vitrivr VIII,64
KIS Textual 5,vitrivr,vitrivr II,59
KIS Textual 5,vitrivr,vitrivr IV,54
KIS Textual 5,siret,siret II,0
KIS Textual 5,siret,siret VII,52
KIS Visual 6,siret,siret III,91
KIS Visual 6,vitrivr,vitrivr I,89
KIS Visual 6,siret,siret IV,86
KIS Visual 6,siret,siret II,86
KIS Visual 6,vitrivr,vitrivr V,77
KIS Visual 6,vitrivr,vitrivr II,70
KIS Visual 6,siret,siret I,64
KIS Visual 6,vitrivr,vitrivr III,60
KIS Visual 6,siret,siret V,57
KIS Textual 6,siret,siret V,91
KIS Textual 6,siret,siret VI,89
KIS Textual 6,siret,siret II,73
KIS Textual 6,siret,siret IV,0
KIS Textual 6,vitrivr,vitrivr II,72
KIS Textual 6,siret,siret III,63
KIS Visual 8,siret,siret IV,96
KIS Visual 8,siret,siret III,78
KIS Visual 8,siret,siret II,73
KIS Visual 8,vitrivr,vitrivr II,68
KIS Visual 8,vitrivr,vitrivr I,57
KIS Visual 8,vitrivr,vitrivr III,54
KIS Textual 8,vitrivr,vitrivr V,96
KIS Textual 8,vitrivr,vitrivr II,96
KIS Textual 8,vitrivr,vitrivr I,96
KIS Textual 8,vitrivr,vitrivr III,93
KIS Textual 8,siret,siret III,92
KIS Textual 8,vitrivr,vitrivr VI,88
KIS Textual 8,siret,siret V,88
KIS Textual 8,siret,siret I,83
KIS Textual 8,vitrivr,vitrivr VIII,70
KIS Textual 8,vitrivr,vitrivr VII,75
KIS Textual 8,vitrivr,vitrivr IV,70
KIS Textual 8,siret,siret II,69
KIS Textual 8,siret,siret VI,0
KIS Visual 9,siret,siret I,81
KIS Visual 9,siret,siret IV,72
KIS Visual 9,siret,siret III,55
KIS Visual 9,siret,siret II,0
KIS Textual 9,siret,siret VI,56
KIS Visual 11,siret,siret VII,95
KIS Visual 11,siret,siret III,92
KIS Visual 11,siret,siret II,92
