task,team,user,correctItem_any
KIS Textual 1,siret,siret I,true
KIS Textual 11,siret,siret I,true
KIS Textual 12,siret,siret I,false
KIS Textual 13,siret,siret I,true
KIS Textual 15,siret,siret I,false
KIS Textual 17,siret,siret I,true
KIS Textual 18,siret,siret I,true
KIS Textual 19,siret,siret I,false
KIS Textual 2,siret,siret I,true
KIS Textual 20,siret,siret I,false
KIS Textual 21,siret,siret I,true
KIS Textual 22,siret,siret I,false
KIS Textual 23,siret,siret I,false
KIS Textual 24,siret,siret I,true
KIS Textual 25,siret,siret I,false
KIS Textual 3,siret,siret I,true
KIS Textual 4,siret,siret I,true
KIS Textual 5,siret,siret I,false
KIS Textual 6,siret,siret I,false
KIS Textual 8,siret,siret I,true
KIS Textual 9,siret,siret I,false
KIS Visual 1,siret,siret I,true
KIS Visual 11,siret,siret I,true
KIS Visual 12,siret,siret I,false
KIS Visual 13,siret,siret I,true
KIS Visual 15,siret,siret I,true
KIS Visual 17,siret,siret I,true
KIS Visual 18,siret,siret I,true
KIS Visual 19,siret,siret I,false
KIS Visual 2,siret,siret I,false
KIS Visual 20,siret,siret I,true
KIS Visual 21,siret,siret I,false
KIS Visual 22,siret,siret I,true
KIS Visual 23,siret,siret I,false
KIS Visual 24,siret,siret I,true
KIS Visual 25,siret,siret I,true
KIS Visual 3,siret,siret I,true
KIS Visual 4,siret,siret I,false
KIS Visual 5,siret,siret I,true
KIS Visual 6,siret,siret I,true
KIS Visual 8,siret,siret I,false
KIS Visual 9,siret,siret I,true
KIS Textual 1,siret,siret II,true
KIS Textual 11,siret,siret II,true
KIS Textual 12,siret,siret II,true
KIS Textual 13,siret,siret II,true
KIS Textual 15,siret,siret II,true
KIS Textual 17,siret,siret II,false
KIS Textual 18,siret,siret II,true
KIS Textual 19,siret,siret II,true
KIS Textual 2,siret,siret II,true
KIS Textual 20,siret,siret II,true
KIS Textual 21,siret,siret II,true
KIS Textual 22,siret,siret II,false
KIS Textual 23,siret,siret II,false
KIS Textual 3,siret,siret II,true
KIS Textual 4,siret,siret II,true
KIS Textual 5,siret,siret II,false
KIS Textual 6,siret,siret II,true
KIS Textual 8,siret,siret II,true
KIS Textual 9,siret,siret II,false
KIS Visual 1,siret,siret II,true
KIS Visual 11,siret,siret II,true
KIS Visual 12,siret,siret II,false
KIS Visual 13,siret,siret II,true
KIS Visual 15,siret,siret II,true
KIS Visual 17,siret,siret II,true
KIS Visual 18,siret,siret II,false
KIS Visual 19,siret,siret II,true
KIS Visual 2,siret,siret II,true
KIS Visual 20,siret,siret II,true
KIS Visual 21,siret,siret II,true
KIS Visual 22,siret,siret II,true
KIS Visual 23,siret,siret II,true
KIS Visual 3,siret,siret II,false
KIS Visual 4,siret,siret II,true
KIS Visual 5,siret,siret II,true
KIS Visual 6,siret,siret II,true
KIS Visual 8,siret,siret II,true
KIS Visual 9,siret,siret II,false
KIS Textual 1,siret,siret III,false
KIS Textual 11,siret,siret III,true
KIS Textual 12,siret,siret III,true
KIS Textual 13,siret,siret III,false
KIS Textual 15,siret,siret III,true
KIS Textual 17,siret,siret III,false
KIS Textual 18,siret,siret III,true
KIS Textual 19,siret,siret III,false
KIS Textual 2,siret,siret III,true
KIS Textual 20,siret,siret III,true
KIS Textual 21,siret,siret III,true
KIS Textual 22,siret,siret III,true
KIS Textual 23,siret,siret III,false
KIS Textual 24,siret,siret III,true
KIS Textual 25,siret,siret III,false
KIS Textual 3,siret,siret III,true
KIS Textual 4,siret,siret III,false
KIS Textual 5,siret,siret III,false
KIS Textual 6,siret,siret III,true
KIS Textual 8,siret,siret III,true
KIS Textual 9,siret,siret III,false
KIS Visual 1,siret,siret III,true
KIS Visual 11,siret,siret III,true
KIS Visual 12,siret,siret III,false
KIS Visual 13,siret,siret III,true
KIS Visual 15,siret,siret III,true
KIS Visual 17,siret,siret III,true
KIS Visual 18,siret,siret III,false
KIS Visual 19,siret,siret III,true
KIS Visual 2,siret,siret III,true
KIS Visual 20,siret,siret III,true
KIS Visual 21,siret,siret III,true
KIS Visual 22,siret,siret III,false
KIS Visual 23,siret,siret III,true
KIS Visual 24,siret,siret III,true
KIS Visual 25,siret,siret III,true
KIS Visual 3,siret,siret III,true
KIS Visual 4,siret,siret III,false
KIS Visual 5,siret,siret III,true
KIS Visual 6,siret,siret III,true
KIS Visual 8,siret,siret III,true
KIS Visual 9,siret,siret III,true
KIS Textual 1,siret,siret IV,false
KIS Textual 11,siret,siret IV,true
KIS Textual 12,siret,siret IV,false
KIS Textual 13,siret,siret IV,true
KIS Textual 15,siret,siret IV,true
KIS Textual 17,siret,siret IV,false
KIS Textual 18,siret,siret IV,true
KIS Textual 19,siret,siret IV,false
KIS Textual 2,siret,siret IV,true
KIS Textual 20,siret,siret IV,false
KIS Textual 21,siret,siret IV,true
KIS Textual 22,siret,siret IV,true
KIS Textual 23,siret,siret IV,false
KIS Textual 24,siret,siret IV,true
KIS Textual 25,siret,siret IV,false
KIS Textual 3,siret,siret IV,true
KIS Textual 4,siret,siret IV,true
KIS Textual 5,siret,siret IV,true
KIS Textual 6,siret,siret IV,true
KIS Textual 8,siret,siret IV,false
KIS Textual 9,siret,siret IV,false
KIS Visual 1,siret,siret IV,true
KIS Visual 11,siret,siret IV,true
KIS Visual 12,siret,siret IV,false
KIS Visual 13,siret,siret IV,true
KIS Visual 15,siret,siret IV,true
KIS Visual 17,siret,siret IV,true
KIS Visual 18,siret,siret IV,true
KIS Visual 19,siret,siret IV,true
KIS Visual 2,siret,siret IV,true
KIS Visual 20,siret,siret IV,true
KIS Visual 21,siret,siret IV,true
KIS Visual 22,siret,siret IV,true
KIS Visual 23,siret,siret IV,false
KIS Visual 24,siret,siret IV,true
KIS Visual 25,siret,siret IV,true
KIS Visual 3,siret,siret IV,true
KIS Visual 4,siret,siret IV,false
KIS Visual 5,siret,siret IV,true
KIS Visual 6,siret,siret IV,true
KIS Visual 8,siret,siret IV,true
KIS Visual 9,siret,siret IV,true
KIS Textual 1,siret,siret V,false
KIS Textual 11,siret,siret V,true
KIS Textual 12,siret,siret V,true
KIS Textual 13,siret,siret V,false
KIS Textual 15,siret,siret V,true
KIS Textual 17,siret,siret V,false
KIS Textual 18,siret,siret V,false
KIS Textual 19,siret,siret V,false
KIS Textual 2,siret,siret V,true
KIS Textual 20,siret,siret V,false
KIS Textual 21,siret,siret V,true
KIS Textual 3,siret,siret V,true
KIS Textual 4,siret,siret V,true
KIS Textual 5,siret,siret V,false
KIS Textual 6,siret,siret V,true
KIS Textual 8,siret,siret V,true
KIS Textual 9,siret,siret V,false
KIS Visual 1,siret,siret V,true
KIS Visual 11,siret,siret V,true
KIS Visual 12,siret,siret V,true
KIS Visual 13,siret,siret V,true
KIS Visual 15,siret,siret V,true
KIS Visual 17,siret,siret V,true
KIS Visual 18,siret,siret V,true
KIS Visual 19,siret,siret V,true
KIS Visual 2,siret,siret V,true
KIS Visual 20,siret,siret V,true
KIS Visual 21,siret,siret V,false
KIS Visual 3,siret,siret V,true
KIS Visual 4,siret,siret V,false
KIS Visual 5,siret,siret V,true
KIS Visual 6,siret,siret V,true
KIS Visual 8,siret,siret V,false
KIS Visual 9,siret,siret V,false
KIS Textual 1,siret,siret VI,true
KIS Textual 11,siret,siret VI,true
KIS Textual 12,siret,siret VI,true
KIS Textual 13,siret,siret VI,false
KIS Textual 15,siret,siret VI,true
KIS Textual 17,siret,siret VI,false
KIS Textual 18,siret,siret VI,true
KIS Textual 19,siret,siret VI,true
KIS Textual 2,siret,siret VI,true
KIS Textual 20,siret,siret VI,true
KIS Textual 21,siret,siret VI,true
KIS Textual 22,siret,siret VI,false
KIS Textual 23,siret,siret VI,false
KIS Textual 24,siret,siret VI,true
KIS Textual 25,siret,siret VI,false
KIS Textual 3,siret,siret VI,true
KIS Textual 4,siret,siret VI,true
KIS Textual 5,siret,siret VI,false
KIS Textual 6,siret,siret VI,true
KIS Textual 8,siret,siret VI,true
KIS Textual 9,siret,siret VI,true
KIS Visual 1,siret,siret VI,true
KIS Visual 11,siret,siret VI,true
KIS Visual 12,siret,siret VI,false
KIS Visual 13,siret,siret VI,true
KIS Visual 15,siret,siret VI,true
KIS Visual 17,siret,siret VI,true
KIS Visual 18,siret,siret VI,false
KIS Visual 19,siret,siret VI,true
KIS Visual 2,siret,siret VI,true
KIS Visual 20,siret,siret VI,true
KIS Visual 21,siret,siret VI,false
KIS Visual 22,siret,siret VI,true
KIS Visual 23,siret,siret VI,false
KIS Visual 24,siret,siret VI,true
KIS Visual 25,siret,siret VI,true
KIS Visual 3,siret,siret VI,true
KIS Visual 4,siret,siret VI,false
KIS Visual 5,siret,siret VI,true
KIS Visual 6,siret,siret VI,false
KIS Visual 8,siret,siret VI,false
KIS Visual 9,siret,siret VI,false
KIS Textual 1,siret,siret VII,true
KIS Textual 11,siret,siret VII,true
KIS Textual 12,siret,siret VII,true
KIS Textual 13,siret,siret VII,true
KIS Textual 15,siret,siret VII,true
KIS Textual 17,siret,siret VII,true
KIS Textual 18,siret,siret VII,true
KIS Textual 19,siret,siret VII,true
KIS Textual 2,siret,siret VII,true
KIS Textual 20,siret,siret VII,false
KIS Textual 21,siret,siret VII,true
KIS Textual 22,siret,siret VII,false
KIS Textual 23,siret,siret VII,true
KIS Textual 24,siret,siret VII,true
KIS Textual 25,siret,siret VII,false
KIS Textual 3,siret,siret VII,true
KIS Textual 4,siret,siret VII,true
KIS Textual 5,siret,siret VII,true
KIS Textual 6,siret,siret VII,false
KIS Textual 8,siret,siret VII,false
KIS Textual 9,siret,siret VII,false
KIS Visual 1,siret,siret VII,true
KIS Visual 11,siret,siret VII,true
KIS Visual 12,siret,siret VII,false
KIS Visual 13,siret,siret VII,true
KIS Visual 15,siret,siret VII,false
KIS Visual 17,siret,siret VII,true
KIS Visual 18,siret,siret VII,true
KIS Visual 19,siret,siret VII,true
KIS Visual 2,siret,siret VII,false
KIS Visual 20,siret,siret VII,true
KIS Visual 21,siret,siret VII,false
KIS Visual 22,siret,siret VII,true
KIS Visual 23,siret,siret VII,true
KIS Visual 24,siret,siret VII,true
KIS Visual 25,siret,siret VII,true
KIS Visual 3,siret,siret VII,false
KIS Visual 4,siret,siret VII,false
KIS Visual 5,siret,siret VII,true
KIS Visual 6,siret,siret VII,false
KIS Visual 8,siret,siret VII,false
KIS Visual 9,siret,siret VII,false
KIS Textual 1,vitrivr,vitrivr I,true
KIS Textual 11,vitrivr,vitrivr I,true
KIS Textual 12,vitrivr,vitrivr I,true
KIS Textual 13,vitrivr,vitrivr I,false
KIS Textual 15,vitrivr,vitrivr I,false
KIS Textual 17,vitrivr,vitrivr I,true
KIS Textual 18,vitrivr,vitrivr I,true
KIS Textual 19,vitrivr,vitrivr I,false
KIS Textual 2,vitrivr,vitrivr I,true
KIS Textual 20,vitrivr,vitrivr I,false
KIS Textual 21,vitrivr,vitrivr I,true
KIS Textual 22,vitrivr,vitrivr I,false
KIS Textual 23,vitrivr,vitrivr I,false
KIS Textual 24,vitrivr,vitrivr I,true
KIS Textual 25,vitrivr,vitrivr I,true
KIS Textual 3,vitrivr,vitrivr I,false
KIS Textual 4,vitrivr,vitrivr I,false
KIS Textual 5,vitrivr,vitrivr I,false
KIS Textual 6,vitrivr,vitrivr I,false
KIS Textual 8,vitrivr,vitrivr I,true
KIS Textual 9,vitrivr,vitrivr I,false
KIS Visual 1,vitrivr,vitrivr I,true
KIS Visual 11,vitrivr,vitrivr I,false
KIS Visual 12,vitrivr,vitrivr I,false
KIS Visual 13,vitrivr,vitrivr I,true
KIS Visual 15,vitrivr,vitrivr I,false
KIS Visual 17,vitrivr,vitrivr I,true
KIS Visual 18,vitrivr,vitrivr I,false
KIS Visual 19,vitrivr,vitrivr I,true
KIS Visual 2,vitrivr,vitrivr I,true
KIS Visual 20,vitrivr,vitrivr I,true
KIS Visual 21,vitrivr,vitrivr I,false
KIS Visual 22,vitrivr,vitrivr I,false
KIS Visual 23,vitrivr,vitrivr I,true
KIS Visual 24,vitrivr,vitrivr I,false
KIS Visual 25,vitrivr,vitrivr I,true
KIS Visual 3,vitrivr,vitrivr I,true
KIS Visual 4,vitrivr,vitrivr I,true
KIS Visual 5,vitrivr,vitrivr I,false
KIS Visual 6,vitrivr,vitrivr I,true
KIS Visual 8,vitrivr,vitrivr I,true
KIS Visual 9,vitrivr,vitrivr I,false
KIS Textual 1,vitrivr,vitrivr II,false
KIS Textual 11,vitrivr,vitrivr II,true
KIS Textual 12,vitrivr,vitrivr II,true
KIS Textual 13,vitrivr,vitrivr II,false
KIS Textual 15,vitrivr,vitrivr II,true
KIS Textual 17,vitrivr,vitrivr II,true
KIS Textual 18,vitrivr,vitrivr II,true
KIS Textual 19,vitrivr,vitrivr II,false
KIS Textual 2,vitrivr,vitrivr II,true
KIS Textual 20,vitrivr,vitrivr II,true
KIS Textual 21,vitrivr,vitrivr II,true
KIS Textual 22,vitrivr,vitrivr II,false
KIS Textual 23,vitrivr,vitrivr II,false
KIS Textual 24,vitrivr,vitrivr II,true
KIS Textual 25,vitrivr,vitrivr II,true
KIS Textual 3,vitrivr,vitrivr II,false
KIS Textual 4,vitrivr,vitrivr II,true
KIS Textual 5,vitrivr,vitrivr II,true
KIS Textual 6,vitrivr,vitrivr II,true
KIS Textual 8,vitrivr,vitrivr II,true
KIS Textual 9,vitrivr,vitrivr II,false
KIS Visual 1,vitrivr,vitrivr II,true
KIS Visual 11,vitrivr,vitrivr II,true
KIS Visual 12,vitrivr,vitrivr II,false
KIS Visual 13,vitrivr,vitrivr II,true
KIS Visual 15,vitrivr,vitrivr II,true
KIS Visual 17,vitrivr,vitrivr II,true
KIS Visual 18,vitrivr,vitrivr II,false
KIS Visual 19,vitrivr,vitrivr II,true
KIS Visual 2,vitrivr,vitrivr II,false
KIS Visual 20,vitrivr,vitrivr II,true
KIS Visual 21,vitrivr,vitrivr II,false
KIS Visual 22,vitrivr,vitrivr II,false
KIS Visual 23,vitrivr,vitrivr II,true
KIS Visual 24,vitrivr,vitrivr II,false
KIS Visual 25,vitrivr,vitrivr II,true
KIS Visual 3,vitrivr,vitrivr II,true
KIS Visual 4,vitrivr,vitrivr II,true
KIS Visual 5,vitrivr,vitrivr II,false
KIS Visual 6,vitrivr,vitrivr II,true
KIS Visual 8,vitrivr,vitrivr II,true
KIS Visual 9,vitrivr,vitrivr II,false
KIS Textual 1,vitrivr,vitrivr III,true
KIS Textual 11,vitrivr,vitrivr III,true
KIS Textual 12,vitrivr,vitrivr III,true
KIS Textual 13,vitrivr,vitrivr III,false
