team_a,team_b,score_sum
SOMHunter IV,vitrivr VI,2859
SOMHunter III,SOMHunter VII,2856
SOMHunter IV,vitrivr V,2856
SOMHunter II,SOMHunter IV,2849
SOMHunter IV,vitrivr II,2829
SOMHunter IV,vitrivr VIII,2804
SOMHunter I,SOMHunter III,2796
SOMHunter III,vitrivr V,2792
SOMHunter IV,vitrivr III,2786
SOMHunter II,SOMHunter III,2772
SOMHunter I,SOMHunter II,2770
SOMHunter IV,SOMHunter VII,2768
SOMHunter IV,vitrivr I,2735
SOMHunter IV,vitrivr IV,2733
SOMHunter III,SOMHunter IV,2724
SOMHunter I,vitrivr II,2694
SOMHunter IV,vitrivr VII,2684
SOMHunter III,vitrivr IV,2666
SOMHunter II,SOMHunter VII,2663
SOMHunter VII,vitrivr II,2658
SOMHunter II,SOMHunter VI,2646
SOMHunter VI,vitrivr V,2643
SOMHunter III,vitrivr II,2640
SOMHunter III,SOMHunter VI,2632
SOMHunter III,vitrivr VIII,2618
SOMHunter IV,SOMHunter VI,2615
SOMHunter III,vitrivr VI,2611
SOMHunter II,vitrivr II,2609
SOMHunter I,SOMHunter VI,2604
SOMHunter I,vitrivr VI,2602
SOMHunter VI,vitrivr I,2597
SOMHunter II,vitrivr V,2586
SOMHunter VI,vitrivr II,2579
SOMHunter I,SOMHunter IV,2565
SOMHunter II,vitrivr I,2559
SOMHunter IV,SOMHunter V,2557
SOMHunter I,SOMHunter VII,2555
SOMHunter III,vitrivr III,2555
SOMHunter III,vitrivr I,2551
SOMHunter I,vitrivr V,2540
SOMHunter I,vitrivr I,2529
SOMHunter II,vitrivr VIII,2529
SOMHunter I,vitrivr VIII,2526
SOMHunter VI,vitrivr VIII,2525
SOMHunter III,SOMHunter V,2520
SOMHunter VII,vitrivr V,2510
SOMHunter I,vitrivr III,2497
SOMHunter VII,vitrivr III,2495
SOMHunter II,vitrivr VII,2484
SOMHunter III,vitrivr VII,2479
SOMHunter VII,vitrivr I,2476
SOMHunter II,vitrivr VI,2468
SOMHunter VI,vitrivr III,2466
SOMHunter VI,vitrivr VI,2455
SOMHunter VI,SOMHunter VII,2441
SOMHunter II,vitrivr IV,2426
SOMHunter VI,vitrivr IV,2423
SOMHunter I,vitrivr IV,2413
SOMHunter V,SOMHunter VII,2410
SOMHunter VII,vitrivr IV,2407
SOMHunter V,vitrivr II,2404
SOMHunter I,SOMHunter V,2392
SOMHunter II,SOMHunter V,2386
SOMHunter I,vitrivr VII,2380
SOMHunter VII,vitrivr VIII,2378
SOMHunter VII,vitrivr VII,2362
SOMHunter VI,vitrivr VII,2360
SOMHunter VII,vitrivr VI,2355
SOMHunter II,vitrivr III,2333
SOMHunter V,vitrivr IV,2333
SOMHunter V,vitrivr VI,2315
SOMHunter V,vitrivr I,2309
SOMHunter V,SOMHunter VI,2292
SOMHunter V,vitrivr V,2233
SOMHunter V,vitrivr VIII,2188
vitrivr II,vitrivr V,2169
vitrivr II,vitrivr VII,2123
vitrivr II,vitrivr IV,2103
SOMHunter V,vitrivr VII,2097
SOMHunter V,vitrivr III,2066
vitrivr II,vitrivr VI,2059
vitrivr II,vitrivr III,2057
vitrivr II,vitrivr VIII,2049
vitrivr I,vitrivr IV,2043
vitrivr I,vitrivr II,2039
vitrivr I,vitrivr III,1968
vitrivr III,vitrivr IV,1951
vitrivr IV,vitrivr V,1947
vitrivr III,vitrivr VI,1935
vitrivr V,vitrivr VIII,1932
vitrivr III,vitrivr V,1919
vitrivr V,vitrivr VI,1913
vitrivr IV,vitrivr VIII,1889
vitrivr I,vitrivr VI,1886
vitrivr III,vitrivr VIII,1881
vitrivr V,vitrivr VII,1876
vitrivr I,vitrivr VII,1852
vitrivr IV,vitrivr VI,1852
vitrivr I,vitrivr VIII,1851
vitrivr III,vitrivr VII,1850
vitrivr I,vitrivr V,1831
vitrivr IV,vitrivr VII,1819
vitrivr VI,vitrivr VIII,1803
vitrivr VI,vitrivr VII,1769
vitrivr VII,vitrivr VIII,1601
