team,task,timestamp,rank,video_rank,categories,types,sortType
Siret1,KIS Visual 1,1594886274478,-1,2341,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 1,1594886308366,2204,369,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 1,1594886323543,733,733,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 1,1594886387701,-1,92,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 1,1594886403754,-1,94,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 1,1594886420249,-1,54,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 1,1594886435217,218,25,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 1,1594886451530,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886457080,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886458636,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886460155,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886461699,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886465078,-1,38,image,globalFeatures,globalFeatures
Siret1,KIS Visual 1,1594886475938,38,2,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Textual 1,1594886588766,-1,603,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 2,1594887138009,225,225,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 2,1594887156539,578,339,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 2,1594887174132,253,229,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 2,1594887190558,-1,44,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 2,1594887201729,124,124,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 2,1594887288510,268,72,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887289515,268,72,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887297364,221,37,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887317985,221,37,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887351568,4660,4660,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 2,1594887367336,450,450,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887368697,450,450,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887381342,25,25,image,globalFeatures,globalFeatures
Siret1,KIS Visual 2,1594887382504,25,25,image,globalFeatures,globalFeatures
Siret1,KIS Textual 2,1594887445849,18,18,text,jointEmbedding,jointEmbedding
Siret1,KIS Textual 2,1594887458133,1,1,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 3,1594888451357,121,2,text,jointEmbedding,jointEmbedding
Siret1,KIS Textual 3,1594888781844,-1,7,text,jointEmbedding,jointEmbedding
Siret1,KIS Textual 3,1594888841303,-1,0,text,jointEmbedding,jointEmbedding
Siret1,KIS Textual 3,1594888856336,-1,5,text,jointEmbedding,jointEmbedding
Siret1,KIS Textual 3,1594888877431,-1,0,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Textual 3,1594888890380,-1,0,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Textual 3,1594888912794,41,28,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Textual 3,1594888933654,1,0,image,globalFeatures,globalFeatures
Siret1,KIS Textual 3,1594889058778,0,0,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889230310,-1,19,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 4,1594889340454,-1,97,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889341359,-1,97,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889351256,171,47,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889370704,169,109,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889389250,169,109,image,globalFeatures,globalFeatures
Siret1,KIS Visual 4,1594889392685,66,1,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 4,1594889403468,-1,1,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 4,1594889417898,-1,17,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 4,1594889438495,118,35,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Visual 4,1594889456049,77,34,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
Siret1,KIS Textual 4,1594889539521,-1,0,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 5,1594890106405,840,840,text,jointEmbedding,jointEmbedding
Siret1,KIS Visual 5,1594890125474,7,7,text-image,jointEmbedding-feedbackModel,jointEmbedding-feedbackModel
