task,team_a,team_b,score
KIS Visual 1,siret I,siret II,52
KIS Visual 1,siret I,siret III,72
KIS Visual 1,siret I,siret IV,95
KIS Visual 1,siret I,siret V,52
KIS Visual 1,siret I,siret VI,67
KIS Visual 1,siret I,siret VII,74
KIS Visual 1,siret I,vitrivr I,94
KIS Visual 1,siret I,vitrivr II,95
KIS Visual 1,siret I,vitrivr III,66
KIS Visual 1,siret I,vitrivr IV,52
KIS Visual 1,siret I,vitrivr V,93
KIS Visual 1,siret I,vitrivr VI,94
KIS Visual 1,siret I,vitrivr VII,68
KIS Visual 1,siret I,vitrivr VIII,83
KIS Visual 1,siret II,siret III,72
KIS Visual 1,siret II,siret IV,95
KIS Visual 1,siret II,siret V,52
KIS Visual 1,siret II,siret VI,67
KIS Visual 1,siret II,siret VII,74
KIS Visual 1,siret II,vitrivr I,94
KIS Visual 1,siret II,vitrivr II,95
KIS Visual 1,siret II,vitrivr III,66
KIS Visual 1,siret II,vitrivr IV,49
KIS Visual 1,siret II,vitrivr V,93
KIS Visual 1,siret II,vitrivr VI,94
KIS Visual 1,siret II,vitrivr VII,68
KIS Visual 1,siret II,vitrivr VIII,83
KIS Visual 1,siret III,siret IV,95
KIS Visual 1,siret III,siret V,72
KIS Visual 1,siret III,siret VI,72
KIS Visual 1,siret III,siret VII,72
KIS Visual 1,siret III,vitrivr I,94
KIS Visual 1,siret III,vitrivr II,95
KIS Visual 1,siret III,vitrivr III,56
KIS Visual 1,siret III,vitrivr IV,72
KIS Visual 1,siret III,vitrivr V,93
KIS Visual 1,siret III,vitrivr VI,94
KIS Visual 1,siret III,vitrivr VII,72
KIS Visual 1,siret III,vitrivr VIII,73
KIS Visual 1,siret IV,siret V,95
KIS Visual 1,siret IV,siret VI,95
KIS Visual 1,siret IV,siret VII,95
KIS Visual 1,siret IV,vitrivr I,95
KIS Visual 1,siret IV,vitrivr II,95
KIS Visual 1,siret IV,vitrivr III,95
KIS Visual 1,siret IV,vitrivr IV,95
KIS Visual 1,siret IV,vitrivr V,95
KIS Visual 1,siret IV,vitrivr VI,95
KIS Visual 1,siret IV,vitrivr VII,95
KIS Visual 1,siret IV,vitrivr VIII,95
KIS Visual 1,siret V,siret VI,67
KIS Visual 1,siret V,siret VII,74
KIS Visual 1,siret V,vitrivr I,94
KIS Visual 1,siret V,vitrivr II,95
KIS Visual 1,siret V,vitrivr III,66
KIS Visual 1,siret V,vitrivr IV,52
KIS Visual 1,siret V,vitrivr V,93
KIS Visual 1,siret V,vitrivr VI,94
KIS Visual 1,siret V,vitrivr VII,68
KIS Visual 1,siret V,vitrivr VIII,83
KIS Visual 1,siret VI,siret VII,67
KIS Visual 1,siret VI,vitrivr I,94
KIS Visual 1,siret VI,vitrivr II,95
KIS Visual 1,siret VI,vitrivr III,66
KIS Visual 1,siret VI,vitrivr IV,67
KIS Visual 1,siret VI,vitrivr V,93
KIS Visual 1,siret VI,vitrivr VI,94
KIS Visual 1,siret VI,vitrivr VII,67
KIS Visual 1,siret VI,vitrivr VIII,83
KIS Visual 1,siret VII,vitrivr I,94
KIS Visual 1,siret VII,vitrivr II,95
KIS Visual 1,siret VII,vitrivr III,66
KIS Visual 1,siret VII,vitrivr IV,74
KIS Visual 1,siret VII,vitrivr V,93
KIS Visual 1,siret VII,vitrivr VI,94
KIS Visual 1,siret VII,vitrivr VII,74
KIS Visual 1,siret VII,vitrivr VIII,83
