team/task,siret I,siret II,siret III,siret IV,siret V,siret VI,siret VII,vitrivr I,vitrivr II,vitrivr III,vitrivr IV,vitrivr V,vitrivr VI,vitrivr VII,vitrivr VIII
KIS Visual 1,52,49,72,95,52,67,74,94,95,66,0,93,94,68,83
KIS Textual 1,94,70,0,0,0,0,32,0,0,64,94,60,0,81,36
KIS Visual 2,0,58,78,74,63,58,0,50,0,0,0,0,0,91,74
KIS Textual 2,94,97,85,84,83,85,96,86,58,84,91,74,75,62,12
KIS Visual 3,89,0,78,88,52,60,0,87,89,90,79,87,79,82,88
KIS Textual 3,51,89,66,82,72,93,64,0,0,64,0,0,0,0,0
KIS Visual 4,0,88,0,0,0,0,0,85,82,50,78,93,87,0,67
KIS Textual 4,91,90,0,90,65,68,76,0,42,48,75,89,0,0,0
KIS Visual 5,82,89,74,85,90,84,74,0,0,0,0,0,0,0,52
KIS Textual 5,0,0,0,67,0,0,52,0,59,0,54,0,0,0,64
KIS Visual 6,64,86,91,86,57,0,0,89,70,60,0,77,0,0,0
KIS Textual 6,0,73,63,0,91,89,0,0,72,0,0,0,0,0,0
KIS Visual 8,0,73,78,96,0,0,0,57,68,54,0,0,0,0,0
KIS Textual 8,83,69,92,0,88,0,0,96,96,93,70,96,88,75,70
KIS Visual 9,81,0,55,72,0,0,0,0,0,0,0,0,0,0,0
KIS Textual 9,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
KIS Visual 11,69,92,92,76,85,79,95,0,68,0,87,0,88,50,57
KIS Textual 11,97,97,97,97,97,87,97,96,91,75,57,92,61,66,85
KIS Visual 12,0,0,0,0,64,0,0,0,0,0,0,53,0,0,0
KIS Textual 12,0,85,35,0,0,69,53,29,46,81,69,73,71,0,29
KIS Visual 13,90,97,92,93,96,70,71,81,67,74,83,87,56,80,88
KIS Textual 13,67,60,0,45,0,0,56,0,0,0,0,0,65,0,0
KIS Visual 15,79,65,91,93,85,94,0,0,66,71,0,0,0,0,0
KIS Textual 15,0,56,56,63,79,48,83,0,56,46,0,0,0,0,0
KIS Visual 17,92,79,95,82,96,91,97,75,65,82,71,66,65,79,0
KIS Textual 17,89,0,0,0,0,0,72,57,51,0,0,0,0,0,84
KIS Visual 18,59,0,0,79,60,0,53,0,0,0,0,0,0,0,0
KIS Textual 18,59,81,94,56,0,88,91,54,68,0,77,0,93,0,0
KIS Visual 19,0,63,79,54,61,76,85,94,85,62,28,91,96,95,91
KIS Textual 19,0,0,0,0,0,69,61,0,0,0,0,0,0,0,0
KIS Visual 20,93,56,91,94,86,92,93,69,56,77,86,77,0,55,73
KIS Textual 20,0,69,93,0,0,54,0,0,63,69,84,0,87,63,65
KIS Visual 21,0,53,95,54,0,0,0,0,0,0,0,0,0,0,0
KIS Textual 21,90,93,90,91,72,96,87,82,71,0,91,91,69,78,0
KIS Visual 22,69,69,0,55,0,53,88,0,0,0,0,0,0,0,0
KIS Textual 22,0,0,66,49,0,0,0,0,0,0,0,0,0,0,0
KIS Visual 23,0,70,70,0,0,0,82,95,97,91,96,95,95,92,88
KIS Textual 23,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
KIS Visual 24,80,0,75,89,0,87,91,0,0,0,0,0,0,55,0
KIS Textual 24,84,0,71,84,0,69,0,30,85,0,71,40,0,0,0
KIS Visual 25,89,0,83,96,0,91,53,84,58,0,60,60,55,72,54
KIS Textual 25,0,0,0,0,0,0,0,71,38,59,0,90,91,46,59
