team_a,team_b,score_sum
SOMHunter III,SOMHunter VII,38
SOMHunter IV,vitrivr II,37
SOMHunter IV,vitrivr VIII,37
SOMHunter II,SOMHunter IV,36
SOMHunter IV,vitrivr III,36
SOMHunter IV,vitrivr IV,36
SOMHunter IV,vitrivr V,36
SOMHunter VII,vitrivr II,36
SOMHunter I,SOMHunter II,35
SOMHunter I,SOMHunter III,35
SOMHunter I,vitrivr II,35
SOMHunter II,SOMHunter VII,35
SOMHunter IV,SOMHunter VII,35
SOMHunter IV,vitrivr I,35
SOMHunter IV,vitrivr VI,35
SOMHunter II,SOMHunter III,34
SOMHunter II,SOMHunter VI,34
SOMHunter II,vitrivr II,34
SOMHunter III,SOMHunter IV,34
SOMHunter III,vitrivr II,34
SOMHunter III,vitrivr IV,34
SOMHunter III,vitrivr V,34
SOMHunter III,vitrivr VIII,34
SOMHunter IV,SOMHunter VI,34
SOMHunter IV,vitrivr VII,34
SOMHunter VI,vitrivr II,34
SOMHunter VII,vitrivr I,34
SOMHunter VII,vitrivr III,34
SOMHunter I,SOMHunter VI,33
SOMHunter I,vitrivr III,33
SOMHunter I,vitrivr VIII,33
SOMHunter II,vitrivr I,33
SOMHunter II,vitrivr IV,33
SOMHunter II,vitrivr V,33
SOMHunter II,vitrivr VIII,33
SOMHunter III,SOMHunter VI,33
SOMHunter III,vitrivr III,33
SOMHunter V,SOMHunter VII,33
SOMHunter VI,SOMHunter VII,33
SOMHunter VI,vitrivr I,33
SOMHunter VI,vitrivr III,33
SOMHunter VI,vitrivr V,33
SOMHunter VI,vitrivr VIII,33
SOMHunter VII,vitrivr V,33
SOMHunter I,SOMHunter IV,32
SOMHunter I,SOMHunter VII,32
SOMHunter I,vitrivr I,32
SOMHunter I,vitrivr IV,32
SOMHunter II,vitrivr VII,32
SOMHunter III,SOMHunter V,32
SOMHunter III,vitrivr I,32
SOMHunter III,vitrivr VI,32
SOMHunter IV,SOMHunter V,32
SOMHunter V,vitrivr II,32
SOMHunter VI,vitrivr IV,32
SOMHunter VII,vitrivr IV,32
SOMHunter VII,vitrivr VIII,32
SOMHunter I,vitrivr V,31
SOMHunter I,vitrivr VI,31
SOMHunter II,SOMHunter V,31
SOMHunter II,vitrivr VI,31
SOMHunter III,vitrivr VII,31
SOMHunter V,vitrivr IV,31
SOMHunter VI,vitrivr VI,31
SOMHunter VII,vitrivr VI,31
SOMHunter VII,vitrivr VII,31
SOMHunter I,SOMHunter V,30
SOMHunter I,vitrivr VII,30
SOMHunter II,vitrivr III,30
SOMHunter V,SOMHunter VI,30
SOMHunter V,vitrivr I,30
SOMHunter V,vitrivr VIII,30
SOMHunter VI,vitrivr VII,30
vitrivr II,vitrivr VII,30
vitrivr II,vitrivr VIII,30
SOMHunter V,vitrivr VI,29
vitrivr II,vitrivr III,29
vitrivr II,vitrivr V,29
SOMHunter III,SOMHunter III,29
SOMHunter IV,SOMHunter IV,29
SOMHunter V,vitrivr III,28
SOMHunter V,vitrivr V,28
vitrivr I,vitrivr II,28
vitrivr II,vitrivr IV,28
vitrivr II,vitrivr VI,28
SOMHunter II,SOMHunter II,28
SOMHunter V,vitrivr VII,27
vitrivr I,vitrivr III,27
vitrivr III,vitrivr IV,27
vitrivr III,vitrivr VIII,27
vitrivr II,vitrivr II,27
vitrivr I,vitrivr IV,26
vitrivr I,vitrivr VIII,26
vitrivr III,vitrivr VI,26
vitrivr III,vitrivr VII,26
vitrivr V,vitrivr VIII,26
SOMHunter VI,SOMHunter VI,26
SOMHunter VII,SOMHunter VII,26
vitrivr I,vitrivr VII,25
vitrivr III,vitrivr V,25
vitrivr IV,vitrivr VIII,25
SOMHunter I,SOMHunter I,25
vitrivr I,vitrivr V,24
vitrivr I,vitrivr VI,24
vitrivr IV,vitrivr V,24
vitrivr IV,vitrivr VII,24
vitrivr V,vitrivr VI,24
vitrivr V,vitrivr VII,24
vitrivr VI,vitrivr VIII,24
vitrivr IV,vitrivr VI,23
vitrivr VII,vitrivr VIII,23
vitrivr VI,vitrivr VII,22
SOMHunter V,SOMHunter V,21
vitrivr I,vitrivr I,21
vitrivr III,vitrivr III,21
vitrivr IV,vitrivr IV,21
vitrivr V,vitrivr V,20
vitrivr VIII,vitrivr VIII,20
vitrivr VI,vitrivr VI,18
vitrivr VII,vitrivr VII,18
