task,start
KIS Visual 1,1594886219768
KIS Textual 1,1594886563175
KIS Visual 2,1594887089937
KIS Textual 2,1594887426587
KIS Visual 3,1594888398725
KIS Textual 3,1594888744900
KIS Visual 4,1594889173098
KIS Textual 4,1594889509022
KIS Visual 5,1594890064888
KIS Textual 5,1594890954934
KIS Visual 6,1594891734941
KIS Textual 6,1594892141162
KIS Visual 8,1594897488923
KIS Textual 8,1594897838775
KIS Visual 9,1594898368350
KIS Textual 9,1594898699870
KIS Visual 11,1594899228332
KIS Textual 11,1594899552345
KIS Visual 12,1594900009347
KIS Textual 12,1594900335248
KIS Visual 13,1594900861251
KIS Textual 13,1594901097810
KIS Visual 15,1594901618156
KIS Textual 15,1594901945572
KIS Visual 17,1594902475110
KIS Textual 17,1594902807595
KIS Visual 18,1594903328001
KIS Textual 18,1594903653839
KIS Visual 19,1594904187169
KIS Textual 19,1594904518975
KIS Visual 20,1594905400146
KIS Textual 20,1594905723151
KIS Visual 21,1594906267439
KIS Textual 21,1594906589488
KIS Visual 22,1594907114132
KIS Textual 22,1594907434472
KIS Visual 23,1594907953588
KIS Textual 23,1594908275722
KIS Visual 24,1594908804712
KIS Textual 24,1594909129112
KIS Visual 25,1594909651034
KIS Textual 25,1594909971146
KIS Visual 26,1594910504524
