team_a,team_b,solved_sum
siret III,siret VII,38
siret IV,vitrivr II,38
siret IV,vitrivr VIII,38
siret II,siret IV,37
siret IV,vitrivr III,37
siret IV,vitrivr IV,37
siret IV,vitrivr V,37
siret IV,siret VII,36
siret IV,vitrivr I,36
siret IV,vitrivr VI,36
siret VII,vitrivr II,36
siret I,siret II,35
siret I,siret III,35
siret I,vitrivr II,35
siret II,siret VII,35
siret III,siret IV,35
siret IV,siret VI,35
siret IV,vitrivr VII,35
siret II,siret III,34
siret II,siret VI,34
siret II,vitrivr II,34
siret III,vitrivr II,34
siret III,vitrivr IV,34
siret III,vitrivr V,34
siret III,vitrivr VIII,34
siret VI,vitrivr II,34
siret VII,vitrivr I,34
siret VII,vitrivr III,34
siret I,siret IV,33
siret I,siret VI,33
siret I,vitrivr III,33
siret I,vitrivr VIII,33
siret II,vitrivr I,33
siret II,vitrivr IV,33
siret II,vitrivr V,33
siret II,vitrivr VIII,33
siret III,siret VI,33
siret III,vitrivr III,33
siret IV,siret V,33
siret V,siret VII,33
siret VI,siret VII,33
siret VI,vitrivr I,33
siret VI,vitrivr III,33
siret VI,vitrivr V,33
siret VI,vitrivr VIII,33
siret VII,vitrivr V,33
siret I,siret VII,32
siret I,vitrivr I,32
siret I,vitrivr IV,32
siret II,vitrivr VII,32
siret III,siret V,32
siret III,vitrivr I,32
siret III,vitrivr VI,32
siret V,vitrivr II,32
siret VI,vitrivr IV,32
siret VII,vitrivr IV,32
siret VII,vitrivr VIII,32
siret I,vitrivr V,31
siret I,vitrivr VI,31
siret II,siret V,31
siret II,vitrivr VI,31
siret III,vitrivr VII,31
siret V,vitrivr IV,31
siret VI,vitrivr VI,31
siret VII,vitrivr VI,31
siret VII,vitrivr VII,31
siret I,siret V,30
siret I,vitrivr VII,30
siret II,vitrivr III,30
siret V,siret VI,30
siret V,vitrivr I,30
siret V,vitrivr VIII,30
siret VI,vitrivr VII,30
vitrivr II,vitrivr VII,30
vitrivr II,vitrivr VIII,30
siret V,vitrivr VI,29
vitrivr II,vitrivr III,29
vitrivr II,vitrivr V,29
siret V,vitrivr III,28
siret V,vitrivr V,28
vitrivr I,vitrivr II,28
vitrivr II,vitrivr IV,28
vitrivr II,vitrivr VI,28
siret V,vitrivr VII,27
vitrivr I,vitrivr III,27
vitrivr III,vitrivr IV,27
vitrivr III,vitrivr VIII,27
vitrivr I,vitrivr IV,26
vitrivr I,vitrivr VIII,26
vitrivr III,vitrivr VI,26
vitrivr III,vitrivr VII,26
vitrivr V,vitrivr VIII,26
vitrivr I,vitrivr VII,25
vitrivr III,vitrivr V,25
vitrivr IV,vitrivr VIII,25
vitrivr I,vitrivr V,24
vitrivr I,vitrivr VI,24
vitrivr IV,vitrivr V,24
vitrivr IV,vitrivr VII,24
vitrivr V,vitrivr VI,24
vitrivr V,vitrivr VII,24
vitrivr VI,vitrivr VIII,24
vitrivr IV,vitrivr VI,23
vitrivr VII,vitrivr VIII,23
vitrivr VI,vitrivr VII,22
