task,team,correctItem_any
KIS Textual 1,SOMHunter I,true
KIS Textual 11,SOMHunter I,true
KIS Textual 12,SOMHunter I,false
KIS Textual 13,SOMHunter I,true
KIS Textual 15,SOMHunter I,false
KIS Textual 17,SOMHunter I,true
KIS Textual 18,SOMHunter I,true
KIS Textual 19,SOMHunter I,false
KIS Textual 2,SOMHunter I,true
KIS Textual 20,SOMHunter I,false
KIS Textual 21,SOMHunter I,true
KIS Textual 22,SOMHunter I,false
KIS Textual 23,SOMHunter I,false
KIS Textual 24,SOMHunter I,true
KIS Textual 25,SOMHunter I,false
KIS Textual 3,SOMHunter I,true
KIS Textual 4,SOMHunter I,true
KIS Textual 5,SOMHunter I,false
KIS Textual 6,SOMHunter I,false
KIS Textual 8,SOMHunter I,true
KIS Textual 9,SOMHunter I,false
KIS Visual 1,SOMHunter I,true
KIS Visual 11,SOMHunter I,true
KIS Visual 12,SOMHunter I,false
KIS Visual 13,SOMHunter I,true
KIS Visual 15,SOMHunter I,true
KIS Visual 17,SOMHunter I,true
KIS Visual 18,SOMHunter I,true
KIS Visual 19,SOMHunter I,false
KIS Visual 2,SOMHunter I,false
KIS Visual 20,SOMHunter I,true
KIS Visual 21,SOMHunter I,false
KIS Visual 22,SOMHunter I,true
KIS Visual 23,SOMHunter I,false
KIS Visual 24,SOMHunter I,true
KIS Visual 25,SOMHunter I,true
KIS Visual 3,SOMHunter I,true
KIS Visual 4,SOMHunter I,false
KIS Visual 5,SOMHunter I,true
KIS Visual 6,SOMHunter I,true
KIS Visual 8,SOMHunter I,false
KIS Visual 9,SOMHunter I,true
KIS Textual 1,SOMHunter II,true
KIS Textual 11,SOMHunter II,true
KIS Textual 12,SOMHunter II,true
KIS Textual 13,SOMHunter II,true
KIS Textual 15,SOMHunter II,true
KIS Textual 17,SOMHunter II,false
KIS Textual 18,SOMHunter II,true
KIS Textual 19,SOMHunter II,true
KIS Textual 2,SOMHunter II,true
KIS Textual 20,SOMHunter II,true
KIS Textual 21,SOMHunter II,true
KIS Textual 22,SOMHunter II,false
KIS Textual 23,SOMHunter II,false
KIS Textual 24,SOMHunter II,false
KIS Textual 25,SOMHunter II,false
KIS Textual 3,SOMHunter II,true
KIS Textual 4,SOMHunter II,true
KIS Textual 5,SOMHunter II,false
KIS Textual 6,SOMHunter II,true
KIS Textual 8,SOMHunter II,true
KIS Textual 9,SOMHunter II,false
KIS Visual 1,SOMHunter II,true
KIS Visual 11,SOMHunter II,true
KIS Visual 12,SOMHunter II,false
KIS Visual 13,SOMHunter II,true
KIS Visual 15,SOMHunter II,true
KIS Visual 17,SOMHunter II,true
KIS Visual 18,SOMHunter II,false
KIS Visual 19,SOMHunter II,true
KIS Visual 2,SOMHunter II,true
KIS Visual 20,SOMHunter II,true
KIS Visual 21,SOMHunter II,true
KIS Visual 22,SOMHunter II,true
KIS Visual 23,SOMHunter II,true
KIS Visual 24,SOMHunter II,false
KIS Visual 25,SOMHunter II,false
KIS Visual 3,SOMHunter II,false
KIS Visual 4,SOMHunter II,true
KIS Visual 5,SOMHunter II,true
KIS Visual 6,SOMHunter II,true
KIS Visual 8,SOMHunter II,true
KIS Visual 9,SOMHunter II,false
KIS Textual 1,SOMHunter III,false
KIS Textual 11,SOMHunter III,true
KIS Textual 12,SOMHunter III,true
