task,team,correctItem_any
KIS Textual 1,siret I,true
KIS Textual 11,siret I,true
KIS Textual 12,siret I,false
KIS Textual 13,siret I,true
KIS Textual 15,siret I,false
KIS Textual 17,siret I,true
KIS Textual 18,siret I,true
KIS Textual 19,siret I,false
KIS Textual 2,siret I,true
KIS Textual 20,siret I,false
KIS Textual 21,siret I,true
KIS Textual 22,siret I,false
KIS Textual 23,siret I,false
KIS Textual 24,siret I,true
KIS Textual 25,siret I,false
KIS Textual 3,siret I,true
KIS Textual 4,siret I,true
KIS Textual 5,siret I,false
KIS Textual 6,siret I,false
KIS Textual 8,siret I,true
KIS Textual 9,siret I,false
KIS Visual 1,siret I,true
KIS Visual 11,siret I,true
KIS Visual 12,siret I,false
KIS Visual 13,siret I,true
KIS Visual 15,siret I,true
KIS Visual 17,siret I,true
KIS Visual 18,siret I,true
KIS Visual 19,siret I,false
KIS Visual 2,siret I,false
KIS Visual 20,siret I,true
KIS Visual 21,siret I,false
KIS Visual 22,siret I,true
KIS Visual 23,siret I,false
KIS Visual 24,siret I,true
KIS Visual 25,siret I,true
KIS Visual 3,siret I,true
KIS Visual 4,siret I,false
KIS Visual 5,siret I,true
KIS Visual 6,siret I,true
KIS Visual 8,siret I,false
KIS Visual 9,siret I,true
KIS Textual 1,siret II,true
KIS Textual 11,siret II,true
KIS Textual 12,siret II,true
KIS Textual 13,siret II,true
KIS Textual 15,siret II,true
KIS Textual 17,siret II,false
KIS Textual 18,siret II,true
KIS Textual 19,siret II,true
KIS Textual 2,siret II,true
KIS Textual 20,siret II,true
KIS Textual 21,siret II,true
KIS Textual 22,siret II,false
KIS Textual 23,siret II,false
KIS Textual 3,siret II,true
KIS Textual 4,siret II,true
KIS Textual 5,siret II,false
KIS Textual 6,siret II,true
KIS Textual 8,siret II,true
KIS Textual 9,siret II,false
KIS Visual 1,siret II,true
KIS Visual 11,siret II,true
KIS Visual 12,siret II,false
KIS Visual 13,siret II,true
KIS Visual 15,siret II,true
KIS Visual 17,siret II,true
KIS Visual 18,siret II,false
KIS Visual 19,siret II,true
KIS Visual 2,siret II,true
KIS Visual 20,siret II,true
KIS Visual 21,siret II,true
KIS Visual 22,siret II,true
KIS Visual 23,siret II,true
KIS Visual 3,siret II,false
KIS Visual 4,siret II,true
KIS Visual 5,siret II,true
KIS Visual 6,siret II,true
KIS Visual 8,siret II,true
KIS Visual 9,siret II,false
KIS Textual 1,siret III,false
KIS Textual 11,siret III,true
KIS Textual 12,siret III,true
KIS Textual 13,siret III,false
KIS Textual 15,siret III,true
KIS Textual 17,siret III,false
KIS Textual 18,siret III,true
KIS Textual 19,siret III,false
KIS Textual 2,siret III,true
KIS Textual 20,siret III,true
KIS Textual 21,siret III,true
