team_a,team_b,score_sum
SOMHunter IV,vitrivr VI,2455
SOMHunter I,SOMHunter III,2370
SOMHunter II,SOMHunter III,2356
SOMHunter III,vitrivr V,2343
SOMHunter III,SOMHunter IV,2341
SOMHunter II,SOMHunter IV,2331
SOMHunter IV,vitrivr V,2329
SOMHunter IV,vitrivr II,2295
SOMHunter III,SOMHunter VII,2288
SOMHunter IV,vitrivr IV,2272
SOMHunter III,vitrivr VI,2259
SOMHunter I,vitrivr VI,2246
SOMHunter IV,SOMHunter VII,2233
SOMHunter IV,vitrivr I,2226
SOMHunter III,SOMHunter VI,2223
SOMHunter III,vitrivr IV,2218
SOMHunter IV,vitrivr VIII,2207
SOMHunter IV,vitrivr III,2206
SOMHunter VI,vitrivr V,2185
SOMHunter I,SOMHunter II,2177
SOMHunter IV,vitrivr VII,2168
SOMHunter IV,SOMHunter VI,2165
SOMHunter III,vitrivr I,2160
SOMHunter III,vitrivr II,2160
SOMHunter III,vitrivr VIII,2155
SOMHunter VI,vitrivr VI,2151
SOMHunter I,vitrivr II,2150
SOMHunter I,SOMHunter IV,2147
SOMHunter VI,vitrivr I,2136
SOMHunter I,SOMHunter VI,2130
SOMHunter II,SOMHunter VI,2127
SOMHunter III,SOMHunter V,2113
SOMHunter IV,SOMHunter V,2110
SOMHunter III,vitrivr III,2106
SOMHunter I,vitrivr V,2101
SOMHunter III,vitrivr VII,2097
SOMHunter VI,vitrivr II,2081
SOMHunter VI,vitrivr VIII,2071
SOMHunter I,SOMHunter VII,2070
SOMHunter II,vitrivr I,2052
SOMHunter II,vitrivr VI,2051
SOMHunter II,vitrivr V,2047
SOMHunter I,vitrivr I,2039
SOMHunter II,vitrivr II,2033
SOMHunter II,vitrivr VIII,2015
SOMHunter VII,vitrivr II,2013
SOMHunter VI,vitrivr VII,2003
SOMHunter II,SOMHunter VII,2000
SOMHunter VI,vitrivr IV,1998
SOMHunter VII,vitrivr V,1977
SOMHunter I,vitrivr VIII,1973
SOMHunter VI,vitrivr III,1970
SOMHunter II,vitrivr VII,1964
SOMHunter I,vitrivr III,1954
SOMHunter VII,vitrivr VI,1948
SOMHunter I,SOMHunter V,1944
SOMHunter I,vitrivr IV,1938
SOMHunter VII,vitrivr I,1931
SOMHunter VI,SOMHunter VII,1917
SOMHunter I,vitrivr VII,1902
SOMHunter V,vitrivr VI,1887
SOMHunter II,vitrivr IV,1881
SOMHunter VII,vitrivr IV,1881
SOMHunter II,vitrivr III,1879
SOMHunter III,SOMHunter III,1869
SOMHunter II,SOMHunter V,1866
SOMHunter V,SOMHunter VI,1859
SOMHunter V,vitrivr V,1842
SOMHunter V,vitrivr II,1827
SOMHunter V,vitrivr IV,1827
SOMHunter VII,vitrivr III,1826
SOMHunter VII,vitrivr VII,1825
SOMHunter VII,vitrivr VIII,1815
SOMHunter IV,SOMHunter IV,1815
SOMHunter V,SOMHunter VII,1799
SOMHunter V,vitrivr I,1796
vitrivr I,vitrivr IV,1683
vitrivr II,vitrivr IV,1641
vitrivr II,vitrivr V,1636
SOMHunter V,vitrivr VIII,1635
vitrivr IV,vitrivr V,1631
SOMHunter V,vitrivr VII,1608
SOMHunter V,vitrivr III,1607
vitrivr V,vitrivr VI,1604
vitrivr I,vitrivr VI,1594
vitrivr II,vitrivr VI,1578
SOMHunter II,SOMHunter II,1567
SOMHunter VI,SOMHunter VI,1566
SOMHunter I,SOMHunter I,1555
vitrivr II,vitrivr VII,1545
vitrivr IV,vitrivr VI,1542
vitrivr I,vitrivr II,1540
vitrivr IV,vitrivr VIII,1530
vitrivr II,vitrivr VIII,1514
vitrivr III,vitrivr IV,1493
vitrivr III,vitrivr VI,1492
vitrivr V,vitrivr VIII,1482
vitrivr III,vitrivr V,1479
vitrivr V,vitrivr VII,1475
vitrivr II,vitrivr III,1473
vitrivr VI,vitrivr VIII,1469
vitrivr I,vitrivr V,1466
vitrivr I,vitrivr III,1458
vitrivr VI,vitrivr VII,1440
vitrivr IV,vitrivr VII,1433
vitrivr I,vitrivr VII,1405
vitrivr I,vitrivr VIII,1405
SOMHunter VII,SOMHunter VII,1394
vitrivr III,vitrivr VIII,1321
vitrivr III,vitrivr VII,1302
vitrivr V,vitrivr V,1268
vitrivr II,vitrivr II,1265
vitrivr VII,vitrivr VIII,1204
vitrivr I,vitrivr I,1203
SOMHunter V,SOMHunter V,1165
vitrivr VI,vitrivr VI,1129
vitrivr IV,vitrivr IV,1128
vitrivr III,vitrivr III,1001
vitrivr VIII,vitrivr VIII,920
vitrivr VII,vitrivr VII,862
